AegisSat.A1Gregorian,AegisSat.ElapsedSecs,AegisSat.Earth.Altitude,AegisSat.Earth.Latitude,AegisSat.Earth.Longitude
26 Jul 2025 12:00:05.034,0,614.8638333002527,0.1436165889496417,-123.9747943082562
26 Jul 2025 12:01:05.034,59.99999988125637,614.9169093511118,3.004762337512491,-121.8364205675754
26 Jul 2025 12:01:56.071,111.0366506734863,615.0366714133943,5.434399484431021,-120.0081986042272
26 Jul 2025 12:02:19.955,134.9204111262225,615.1158970689548,6.569136392200718,-119.1474847815001
26 Jul 2025 12:02:36.973,151.9390307832509,615.1812193996129,7.376559698533478,-118.531572706605
26 Jul 2025 12:02:43.340,158.3055969094858,615.2075334407682,7.678337738197368,-118.3005409599081
26 Jul 2025 12:02:45.437,160.4024413623847,615.2164224419093,7.777694494492861,-118.2243715768569
26 Jul 2025 12:02:48.572,163.5373239638284,615.2299168658274,7.926204813106081,-118.1104203570644
26 Jul 2025 12:02:53.897,168.8626823248342,615.2534018862025,8.178393564655225,-117.9166377766194
26 Jul 2025 12:02:59.788,174.7540904092602,615.2802036260255,8.457249215775866,-117.7019421319948
26 Jul 2025 12:03:05.317,180.2823749603704,615.3061335937482,8.718779931258464,-117.5001681606667
26 Jul 2025 12:03:23.287,198.2527754385956,615.3955965709029,9.567947108967099,-116.8420739360919
26 Jul 2025 12:04:15.512,250.4779551643878,615.6994177401066,12.02612477666623,-114.9077113183855
26 Jul 2025 12:05:44.784,339.7491479292512,616.3603728788703,16.18557140932825,-111.5057486630813
26 Jul 2025 12:07:19.493,434.4581657554954,617.2335170008837,20.51959048933059,-107.7211566489751
26 Jul 2025 12:08:54.847,529.8126063658856,618.2566396453831,24.77316573290779,-103.6700434672077
26 Jul 2025 12:10:30.289,625.2550506731495,619.3841172774355,28.88657140291058,-99.30743493828152
26 Jul 2025 12:12:05.760,720.7253341097385,620.5700264233619,32.8168364879504,-94.56321305098105
26 Jul 2025 12:13:41.253,816.2188631831668,621.7668663626064,36.51540847342858,-89.36030833072152
26 Jul 2025 12:15:16.771,911.7361210053787,622.9270656628405,39.92430708272042,-83.62130130261113
26 Jul 2025 12:16:52.311,1007.276719703805,624.0048850177454,42.97500424255752,-77.27809410872224
26 Jul 2025 12:18:27.875,1102.840835927054,624.9583153872254,45.58920567745852,-70.28765042214668
26 Jul 2025 12:20:03.462,1198.427367035765,625.7507746658066,47.68244162903915,-62.65422831029183
26 Jul 2025 12:21:39.068,1294.033235195093,626.3525979295155,49.17186506311159,-54.45311297458474
26 Jul 2025 12:23:14.691,1389.656400459353,626.7422628058703,49.98821188203348,-45.84427803489423
26 Jul 2025 12:24:50.327,1485.292306425981,626.9072350374363,50.08914223770311,-37.06270837830548
26 Jul 2025 12:26:25.972,1580.937271448784,626.8444802962858,49.46905670390604,-28.37868346838101
26 Jul 2025 12:28:01.621,1676.586579764262,626.5605589581573,48.16046858369968,-20.04229200635944
26 Jul 2025 12:29:37.270,1772.235473804176,626.0713311121499,46.22626778030767,-12.23714153145592
26 Jul 2025 12:31:12.914,1867.879746377002,625.4012632475187,43.74677048752598,-5.061840609889097
26 Jul 2025 12:32:48.550,1963.51513088448,624.5823774236069,40.80701051803716,1.461473356937637
26 Jul 2025 12:34:24.173,2059.138584381435,623.652864185322,37.48764255983598,7.364909023743877
26 Jul 2025 12:35:59.781,2154.746335011441,622.6554558022481,33.86026378483657,12.71137020188628
26 Jul 2025 12:37:35.372,2250.337120774202,621.6355491557606,29.98586655621341,17.57695793293218
26 Jul 2025 12:39:10.943,2345.90897904709,620.6392710502032,25.91547474098871,22.03968175577457
26 Jul 2025 12:40:46.496,2441.461755812634,619.7114473690845,21.69144889663231,26.17381784150331
26 Jul 2025 12:42:22.029,2536.995049053803,618.8936687128817,17.34922252905492,30.04752585429245
26 Jul 2025 12:43:57.545,2632.510713266674,618.2224503762991,12.91877332956051,33.72268291235518
26 Jul 2025 12:45:33.045,2728.010793740395,617.7276560776772,8.426115740005795,37.25557042313384
26 Jul 2025 12:47:08.531,2823.496425489429,617.4311912668609,3.894561536278701,40.69810426167927
26 Jul 2025 12:48:44.005,2918.970948806964,617.3460333626244,-0.6543836741961242,44.09941001514174
26 Jul 2025 12:50:19.472,3014.4380101352,617.4756875982584,-5.199997034493486,47.50727841770964
26 Jul 2025 12:51:54.937,3109.9022850045,617.8140515869036,-9.721488224394351,50.96973655033101
26 Jul 2025 12:53:30.401,3205.366472806782,618.3456892345894,-14.19696431804208,54.536481662374
26 Jul 2025 12:55:05.870,3300.835878343787,619.046543513653,-18.60268538494265,58.26056861814842
26 Jul 2025 12:56:41.348,3396.313621569425,619.8849817082846,-22.91175327765984,62.19966157437597
26 Jul 2025 12:58:16.837,3491.802952880971,620.8231988492771,-27.09296144695885,66.41728910553159
26 Jul 2025 12:59:52.342,3587.307257205248,621.8188745038751,-31.10933320665541,70.98341370220221
26 Jul 2025 13:00:05.034,3600.000000104774,621.9531225124119,-31.62837833369566,71.62043210385103
26 Jul 2025 13:01:05.034,3659.99999998603,622.587399592453,-34.02836335317183,74.73838507029399
26 Jul 2025 13:02:35.817,3750.78289025696,623.5264419452715,-37.46799167421536,79.82440777185649
26 Jul 2025 13:04:10.847,3845.81292103976,624.4455155473725,-40.77001054613533,85.68608390464885
26 Jul 2025 13:04:40.711,3875.677001976874,624.7142247847987,-41.73396465719592,87.65201615453941
26 Jul 2025 13:05:03.676,3898.641960206442,624.9129171745053,-42.44864394390785,89.20589283172853
